url,zpid,date,event,posting_is_rental,price,price_change_rate,price_per_squarefoot,source,source_image
https://www.zillow.com/homedetails/1813-Napa-Creek-Ln-Houston-TX-77009/305257155_zpid/,305257155,2024-06-29T00:00:00.000Z,Listed for rent,TRUE,2695,0.007476636,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1813-Napa-Creek-Ln-Houston-TX-77009/305257155_zpid/,305257155,2023-05-06T00:00:00.000Z,Listed for rent,TRUE,2650,0.062124248,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/608-Vincent-St-Houston-TX-77009/27778162_zpid/,27778162,2024-08-19T00:00:00.000Z,Price change,TRUE,2900,-0.064516129,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4300-Rose-St-Houston-TX-77007/97631327_zpid/,97631327,2024-06-26T00:00:00.000Z,Listed for rent,TRUE,3750,0.071428571,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/5012-Irvington-Blvd-Houston-TX-77009/27875212_zpid/,27875212,2024-06-18T00:00:00.000Z,Listed for rent,TRUE,2500,-0.090909091,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/5012-Irvington-Blvd-Houston-TX-77009/27875212_zpid/,27875212,2024-02-06T00:00:00.000Z,Listed for rent,TRUE,2800,0.076923077,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/5012-Irvington-Blvd-Houston-TX-77009/27875212_zpid/,27875212,2023-06-30T00:00:00.000Z,Price change,TRUE,2800,-0.066666667,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/5012-Irvington-Blvd-Houston-TX-77009/27875212_zpid/,27875212,2023-03-02T00:00:00.000Z,Listed for rent,TRUE,3200,0.032258065,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/408-Fairbanks-St-Houston-TX-77009/27875582_zpid/,27875582,2024-07-19T00:00:00.000Z,Price change,TRUE,2900,-0.033333333,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/408-Fairbanks-St-Houston-TX-77009/27875582_zpid/,27875582,2024-07-01T00:00:00.000Z,Listed for rent,TRUE,3000,0.2,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/540-Merrill-St-Houston-TX-77009/27831931_zpid/,27831931,2024-07-06T00:00:00.000Z,Price change,TRUE,3250,-0.071428571,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1013-Ruthven-St-Houston-TX-77019/84028570_zpid/,84028570,2023-02-17T00:00:00.000Z,Listed for rent,TRUE,2000,0.017811704834605598,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4909-Fisk-St-Houston-TX-77009/27792791_zpid/,27792791,2024-07-15T00:00:00.000Z,Price change,TRUE,2625,-0.009433962,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4909-Fisk-St-Houston-TX-77009/27792791_zpid/,27792791,2024-07-03T00:00:00.000Z,Price change,TRUE,2650,-0.016697588,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4909-Fisk-St-Houston-TX-77009/27792791_zpid/,27792791,2024-04-07T00:00:00.000Z,Listed for rent,TRUE,2750,0.05973025,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/4909-Fisk-St-Houston-TX-77009/27792791_zpid/,27792791,2023-01-17T00:00:00.000Z,Price change,TRUE,2495,-0.021568627,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/2844-Leeland-St-Houston-TX-77003/84025886_zpid/,84025886,2023-02-27T00:00:00.000Z,Listed for rent,TRUE,2495,0.061702128,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/5608-Kansas-St-UNIT-B-Houston-TX-77007/84009648_zpid/,84009648,2024-07-02T00:00:00.000Z,Price change,TRUE,2700,-0.035714286,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/3515-Canfield-St-APT-A-Houston-TX-77004/80552902_zpid/,80552902,2024-06-26T00:00:00.000Z,Price change,TRUE,1495,-0.1179941,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1618-Parker-St-Houston-TX-77007/122567782_zpid/,122567782,2024-02-23T00:00:00.000Z,Listed for rent,TRUE,4000,0.25,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/1015-Stanford-St-Houston-TX-77019/80544182_zpid/,80544182,2023-10-28T00:00:00.000Z,Price change,TRUE,3500,-0.04109589,1,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/304-Graceland-St-Houston-TX-77009/27875527_zpid/,27875527,2024-09-19T00:00:00.000Z,Price change,TRUE,2650,-0.036363636,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
https://www.zillow.com/homedetails/304-Graceland-St-Houston-TX-77009/27875527_zpid/,27875527,2024-08-29T00:00:00.000Z,Listed for rent,TRUE,2750,-0.017857143,2,HAR,https://photos.zillowstatic.com/fp/d7ca2feac029409ea31352e4cf1c9a70-zillow_web_logo_inf_11.jpg
